PI_ID	ORG_NAME	DIRECT_COST_AMT	TOTAL_COST
1873940	NRG ONCOLOGY FOUNDATION, INC.	18609525.0	18813807.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	931277.0	579978.0
1991449	GEORGE WASHINGTON UNIVERSITY	26281627.0	27693077.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	355241.0	437156.0
1986254	SCRIPPS RESEARCH INSTITUTE	1473264.0	2101753.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	25126338.0	36427285.0
1872615	BRIGHAM AND WOMEN'S HOSPITAL	402357.0	474296.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	5902126.0	6639996.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	142256.0	146524.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	11486604.0	13829118.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	58662.0	73914.0
1986254	SCRIPPS RESEARCH INSTITUTE	1555988.0	2130036.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	356087.0	437133.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	28399.0	34899.0
1872615	BRIGHAM AND WOMEN'S HOSPITAL	70623417.0	46918193.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	26130445.0	17738847.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	362569.0	362569.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	6084007.0	6787504.0
6765159	OREGON HEALTH & SCIENCE UNIVERSITY	9502611.0	10609226.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	142256.0	146524.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	17411277.0	16911229.0
1872615	BRIGHAM AND WOMEN'S HOSPITAL	474075.0	567366.0
1991449	GEORGE WASHINGTON UNIVERSITY	31824036.0	28947476.0
1860045	FRED HUTCHINSON CANCER RESEARCH CENTER	53752190.0	50375222.0
1872615	BRIGHAM AND WOMEN'S HOSPITAL	221602.0	221602.0
6297517	UNIVERSITY OF CALIFORNIA LOS ANGELES	441066.0	318917.0
1873940	NRG ONCOLOGY FOUNDATION, INC.	349017.0	133213.0
1889666	FAMILY HEALTH INTERNATIONAL	44304032.0	39184529.0
1991449	GEORGE WASHINGTON UNIVERSITY	2432219.0	2499231.0
2059843	UNIVERSITY OF SOUTHERN CALIFORNIA	4441468.0	5001194.0
1991449	GEORGE WASHINGTON UNIVERSITY	29264551.0	30477617.0
